STT,MaHP,TenHP,SoTinChi,HocKy,NamHoc,MaLop,LichHoc,MaGV,GiangVien,MaKhoa,NgayBatDau,NgayKetThuc
1,C22100101,Nhập môn chuyên ngành CNSH,4,1,2022-2023,CNSH01,T2(1-4)-P.cs2:A101,GV0101,TS. Lê Anh Hải,CNSH,2022-08-15,2022-12-30
2,C22100102,Tư duy thuật toán CNSH,3,1,2022-2023,CNSH01,T3(1-3)-P.cs2:A102,GV0102,ThS. Phạm Phương Hà,CNSH,2022-08-15,2022-12-30
3,C22100103,Công cụ học tập số CNSH,3,1,2022-2023,CNSH01,T4(1-3)-P.cs2:A103,GV0201,TS. Phạm Hữu Nam,CNSH,2022-08-15,2022-12-30
4,C22100104,Kỹ năng học thuật CNSH,3,1,2022-2023,CNSH01,T5(1-3)-P.cs2:A104,GV0202,ThS. Hoàng Bảo Lan,CNSH,2022-08-15,2022-12-30
5,C22100105,Thực hành nền tảng CNSH,2,1,2022-2023,CNSH01,T6(1-2)-P.cs2:A105,GV0301,TS. Hoàng Tuấn Sơn,CNSH,2022-08-15,2022-12-30
6,C22100106,Seminar định hướng CNSH,2,1,2022-2023,CNSH01,T7(1-2)-P.cs2:A106,GV0302,ThS. Huỳnh Mỹ My,CNSH,2022-08-15,2022-12-30
7,C22100201,Nhập môn chuyên ngành CNSH,4,1,2022-2023,CNSH02,T2(1-4)-P.cs2:A101,GV0401,TS. Huỳnh Bảo Huy,CNSH,2022-08-15,2022-12-30
8,C22100202,Tư duy thuật toán CNSH,3,1,2022-2023,CNSH02,T3(1-3)-P.cs2:A102,GV0402,ThS. Phan Khánh Trang,CNSH,2022-08-15,2022-12-30
9,C22100203,Công cụ học tập số CNSH,3,1,2022-2023,CNSH02,T4(1-3)-P.cs2:A103,GV0501,TS. Phan Nhật An,CNSH,2022-08-15,2022-12-30
10,C22100204,Kỹ năng học thuật CNSH,3,1,2022-2023,CNSH02,T5(1-3)-P.cs2:A104,GV0502,ThS. Vũ Thị Bích,CNSH,2022-08-15,2022-12-30
11,C22100205,Thực hành nền tảng CNSH,2,1,2022-2023,CNSH02,T6(1-2)-P.cs2:A105,GV0601,TS. Vũ Minh Dũng,CNSH,2022-08-15,2022-12-30
12,C22100301,Nhập môn chuyên ngành CNSH,4,1,2022-2023,CNSH03,T2(1-4)-P.cs2:A101,GV0602,ThS. Võ Thanh Giang,CNSH,2022-08-15,2022-12-30
13,C22100302,Tư duy thuật toán CNSH,3,1,2022-2023,CNSH03,T3(1-3)-P.cs2:A102,GV0701,TS. Võ Anh Long,CNSH,2022-08-15,2022-12-30
14,C22100303,Công cụ học tập số CNSH,3,1,2022-2023,CNSH03,T4(1-3)-P.cs2:A103,GV0702,ThS. Đặng Phương Hương,CNSH,2022-08-15,2022-12-30
15,C22100304,Kỹ năng học thuật CNSH,3,1,2022-2023,CNSH03,T5(1-3)-P.cs2:A104,GV0801,TS. Đặng Hữu Quân,CNSH,2022-08-15,2022-12-30
16,C22100305,Thực hành nền tảng CNSH,2,1,2022-2023,CNSH03,T6(1-2)-P.cs2:A105,GV0802,ThS. Bùi Bảo Mai,CNSH,2022-08-15,2022-12-30
17,C22100306,Seminar định hướng CNSH,2,1,2022-2023,CNSH03,T7(1-2)-P.cs2:A106,GV0901,TS. Bùi Tuấn Việt,CNSH,2022-08-15,2022-12-30
18,C22100401,Nhập môn chuyên ngành CNSH,4,1,2022-2023,CNSH04,T2(1-4)-P.cs2:A101,GV0902,ThS. Đỗ Mỹ Thảo,CNSH,2022-08-15,2022-12-30
19,C22100402,Tư duy thuật toán CNSH,3,1,2022-2023,CNSH04,T3(1-3)-P.cs2:A102,GV1001,TS. Đỗ Bảo Đạt,CNSH,2022-08-15,2022-12-30
20,C22100403,Công cụ học tập số CNSH,3,1,2022-2023,CNSH04,T4(1-3)-P.cs2:A103,GV1002,ThS. Hồ Khánh Anh,CNSH,2022-08-15,2022-12-30
21,C22100404,Kỹ năng học thuật CNSH,3,1,2022-2023,CNSH04,T5(1-3)-P.cs2:A104,GV1101,TS. Hồ Nhật Cường,CNSH,2022-08-15,2022-12-30
22,C22100405,Thực hành nền tảng CNSH,2,1,2022-2023,CNSH04,T6(1-2)-P.cs2:A105,GV1102,ThS. Ngô Thị Dung,CNSH,2022-08-15,2022-12-30
23,C22100501,Nhập môn chuyên ngành CNSH,4,1,2022-2023,CNSH05,T2(1-4)-P.cs2:A101,GV0101,TS. Lê Anh Hải,CNSH,2022-08-15,2022-12-30
24,C22100502,Tư duy thuật toán CNSH,3,1,2022-2023,CNSH05,T3(1-3)-P.cs2:A102,GV0102,ThS. Phạm Phương Hà,CNSH,2022-08-15,2022-12-30
25,C22100503,Công cụ học tập số CNSH,3,1,2022-2023,CNSH05,T4(1-3)-P.cs2:A103,GV0201,TS. Phạm Hữu Nam,CNSH,2022-08-15,2022-12-30
26,C22100504,Kỹ năng học thuật CNSH,3,1,2022-2023,CNSH05,T5(1-3)-P.cs2:A104,GV0202,ThS. Hoàng Bảo Lan,CNSH,2022-08-15,2022-12-30
27,C22100505,Thực hành nền tảng CNSH,2,1,2022-2023,CNSH05,T6(1-2)-P.cs2:A105,GV0301,TS. Hoàng Tuấn Sơn,CNSH,2022-08-15,2022-12-30
28,C22100506,Seminar định hướng CNSH,2,1,2022-2023,CNSH05,T7(1-2)-P.cs2:A106,GV0302,ThS. Huỳnh Mỹ My,CNSH,2022-08-15,2022-12-30
29,C22100601,Nhập môn chuyên ngành CNTT,4,1,2022-2023,CNTT01,T2(1-4)-P.cs2:A101,GV0401,TS. Huỳnh Bảo Huy,CNTT,2022-08-15,2022-12-30
30,C22100602,Tư duy thuật toán CNTT,3,1,2022-2023,CNTT01,T3(1-3)-P.cs2:A102,GV0402,ThS. Phan Khánh Trang,CNTT,2022-08-15,2022-12-30
31,C22100603,Công cụ học tập số CNTT,3,1,2022-2023,CNTT01,T4(1-3)-P.cs2:A103,GV0501,TS. Phan Nhật An,CNTT,2022-08-15,2022-12-30
32,C22100604,Kỹ năng học thuật CNTT,3,1,2022-2023,CNTT01,T5(1-3)-P.cs2:A104,GV0502,ThS. Vũ Thị Bích,CNTT,2022-08-15,2022-12-30
33,C22100605,Thực hành nền tảng CNTT,2,1,2022-2023,CNTT01,T6(1-2)-P.cs2:A105,GV0601,TS. Vũ Minh Dũng,CNTT,2022-08-15,2022-12-30
34,C22100701,Nhập môn chuyên ngành CNTT,4,1,2022-2023,CNTT02,T2(1-4)-P.cs2:A101,GV0602,ThS. Võ Thanh Giang,CNTT,2022-08-15,2022-12-30
35,C22100702,Tư duy thuật toán CNTT,3,1,2022-2023,CNTT02,T3(1-3)-P.cs2:A102,GV0701,TS. Võ Anh Long,CNTT,2022-08-15,2022-12-30
36,C22100703,Công cụ học tập số CNTT,3,1,2022-2023,CNTT02,T4(1-3)-P.cs2:A103,GV0702,ThS. Đặng Phương Hương,CNTT,2022-08-15,2022-12-30
37,C22100704,Kỹ năng học thuật CNTT,3,1,2022-2023,CNTT02,T5(1-3)-P.cs2:A104,GV0801,TS. Đặng Hữu Quân,CNTT,2022-08-15,2022-12-30
38,C22100705,Thực hành nền tảng CNTT,2,1,2022-2023,CNTT02,T6(1-2)-P.cs2:A105,GV0802,ThS. Bùi Bảo Mai,CNTT,2022-08-15,2022-12-30
39,C22100706,Seminar định hướng CNTT,2,1,2022-2023,CNTT02,T7(1-2)-P.cs2:A106,GV0901,TS. Bùi Tuấn Việt,CNTT,2022-08-15,2022-12-30
40,C22100801,Nhập môn chuyên ngành CNTT,4,1,2022-2023,CNTT03,T2(1-4)-P.cs2:A101,GV0902,ThS. Đỗ Mỹ Thảo,CNTT,2022-08-15,2022-12-30
41,C22100802,Tư duy thuật toán CNTT,3,1,2022-2023,CNTT03,T3(1-3)-P.cs2:A102,GV1001,TS. Đỗ Bảo Đạt,CNTT,2022-08-15,2022-12-30
42,C22100803,Công cụ học tập số CNTT,3,1,2022-2023,CNTT03,T4(1-3)-P.cs2:A103,GV1002,ThS. Hồ Khánh Anh,CNTT,2022-08-15,2022-12-30
43,C22100804,Kỹ năng học thuật CNTT,3,1,2022-2023,CNTT03,T5(1-3)-P.cs2:A104,GV1101,TS. Hồ Nhật Cường,CNTT,2022-08-15,2022-12-30
44,C22100805,Thực hành nền tảng CNTT,2,1,2022-2023,CNTT03,T6(1-2)-P.cs2:A105,GV1102,ThS. Ngô Thị Dung,CNTT,2022-08-15,2022-12-30
45,C22100901,Nhập môn chuyên ngành CNTT,4,1,2022-2023,CNTT04,T2(1-4)-P.cs2:A101,GV0101,TS. Lê Anh Hải,CNTT,2022-08-15,2022-12-30
46,C22100902,Tư duy thuật toán CNTT,3,1,2022-2023,CNTT04,T3(1-3)-P.cs2:A102,GV0102,ThS. Phạm Phương Hà,CNTT,2022-08-15,2022-12-30
47,C22100903,Công cụ học tập số CNTT,3,1,2022-2023,CNTT04,T4(1-3)-P.cs2:A103,GV0201,TS. Phạm Hữu Nam,CNTT,2022-08-15,2022-12-30
48,C22100904,Kỹ năng học thuật CNTT,3,1,2022-2023,CNTT04,T5(1-3)-P.cs2:A104,GV0202,ThS. Hoàng Bảo Lan,CNTT,2022-08-15,2022-12-30
49,C22100905,Thực hành nền tảng CNTT,2,1,2022-2023,CNTT04,T6(1-2)-P.cs2:A105,GV0301,TS. Hoàng Tuấn Sơn,CNTT,2022-08-15,2022-12-30
50,C22100906,Seminar định hướng CNTT,2,1,2022-2023,CNTT04,T7(1-2)-P.cs2:A106,GV0302,ThS. Huỳnh Mỹ My,CNTT,2022-08-15,2022-12-30
51,C22101001,Nhập môn chuyên ngành CNTT,4,1,2022-2023,CNTT05,T2(1-4)-P.cs2:A101,GV0401,TS. Huỳnh Bảo Huy,CNTT,2022-08-15,2022-12-30
52,C22101002,Tư duy thuật toán CNTT,3,1,2022-2023,CNTT05,T3(1-3)-P.cs2:A102,GV0402,ThS. Phan Khánh Trang,CNTT,2022-08-15,2022-12-30
53,C22101003,Công cụ học tập số CNTT,3,1,2022-2023,CNTT05,T4(1-3)-P.cs2:A103,GV0501,TS. Phan Nhật An,CNTT,2022-08-15,2022-12-30
54,C22101004,Kỹ năng học thuật CNTT,3,1,2022-2023,CNTT05,T5(1-3)-P.cs2:A104,GV0502,ThS. Vũ Thị Bích,CNTT,2022-08-15,2022-12-30
55,C22101005,Thực hành nền tảng CNTT,2,1,2022-2023,CNTT05,T6(1-2)-P.cs2:A105,GV0601,TS. Vũ Minh Dũng,CNTT,2022-08-15,2022-12-30
56,C22101101,Nhập môn chuyên ngành DC,4,1,2022-2023,DC01,T2(1-4)-P.cs2:A101,GV0602,ThS. Võ Thanh Giang,DC,2022-08-15,2022-12-30
57,C22101102,Tư duy thuật toán DC,3,1,2022-2023,DC01,T3(1-3)-P.cs2:A102,GV0701,TS. Võ Anh Long,DC,2022-08-15,2022-12-30
58,C22101103,Công cụ học tập số DC,3,1,2022-2023,DC01,T4(1-3)-P.cs2:A103,GV0702,ThS. Đặng Phương Hương,DC,2022-08-15,2022-12-30
59,C22101104,Kỹ năng học thuật DC,3,1,2022-2023,DC01,T5(1-3)-P.cs2:A104,GV0801,TS. Đặng Hữu Quân,DC,2022-08-15,2022-12-30
60,C22101105,Thực hành nền tảng DC,2,1,2022-2023,DC01,T6(1-2)-P.cs2:A105,GV0802,ThS. Bùi Bảo Mai,DC,2022-08-15,2022-12-30
61,C22101106,Seminar định hướng DC,2,1,2022-2023,DC01,T7(1-2)-P.cs2:A106,GV0901,TS. Bùi Tuấn Việt,DC,2022-08-15,2022-12-30
62,C22101201,Nhập môn chuyên ngành DC,4,1,2022-2023,DC02,T2(1-4)-P.cs2:A101,GV0902,ThS. Đỗ Mỹ Thảo,DC,2022-08-15,2022-12-30
63,C22101202,Tư duy thuật toán DC,3,1,2022-2023,DC02,T3(1-3)-P.cs2:A102,GV1001,TS. Đỗ Bảo Đạt,DC,2022-08-15,2022-12-30
64,C22101203,Công cụ học tập số DC,3,1,2022-2023,DC02,T4(1-3)-P.cs2:A103,GV1002,ThS. Hồ Khánh Anh,DC,2022-08-15,2022-12-30
65,C22101204,Kỹ năng học thuật DC,3,1,2022-2023,DC02,T5(1-3)-P.cs2:A104,GV1101,TS. Hồ Nhật Cường,DC,2022-08-15,2022-12-30
66,C22101205,Thực hành nền tảng DC,2,1,2022-2023,DC02,T6(1-2)-P.cs2:A105,GV1102,ThS. Ngô Thị Dung,DC,2022-08-15,2022-12-30
67,C22101301,Nhập môn chuyên ngành DC,4,1,2022-2023,DC03,T2(1-4)-P.cs2:A101,GV0101,TS. Lê Anh Hải,DC,2022-08-15,2022-12-30
68,C22101302,Tư duy thuật toán DC,3,1,2022-2023,DC03,T3(1-3)-P.cs2:A102,GV0102,ThS. Phạm Phương Hà,DC,2022-08-15,2022-12-30
69,C22101303,Công cụ học tập số DC,3,1,2022-2023,DC03,T4(1-3)-P.cs2:A103,GV0201,TS. Phạm Hữu Nam,DC,2022-08-15,2022-12-30
70,C22101304,Kỹ năng học thuật DC,3,1,2022-2023,DC03,T5(1-3)-P.cs2:A104,GV0202,ThS. Hoàng Bảo Lan,DC,2022-08-15,2022-12-30
71,C22101305,Thực hành nền tảng DC,2,1,2022-2023,DC03,T6(1-2)-P.cs2:A105,GV0301,TS. Hoàng Tuấn Sơn,DC,2022-08-15,2022-12-30
72,C22101306,Seminar định hướng DC,2,1,2022-2023,DC03,T7(1-2)-P.cs2:A106,GV0302,ThS. Huỳnh Mỹ My,DC,2022-08-15,2022-12-30
73,C22101401,Nhập môn chuyên ngành DC,4,1,2022-2023,DC04,T2(1-4)-P.cs2:A101,GV0401,TS. Huỳnh Bảo Huy,DC,2022-08-15,2022-12-30
74,C22101402,Tư duy thuật toán DC,3,1,2022-2023,DC04,T3(1-3)-P.cs2:A102,GV0402,ThS. Phan Khánh Trang,DC,2022-08-15,2022-12-30
75,C22101403,Công cụ học tập số DC,3,1,2022-2023,DC04,T4(1-3)-P.cs2:A103,GV0501,TS. Phan Nhật An,DC,2022-08-15,2022-12-30
76,C22101404,Kỹ năng học thuật DC,3,1,2022-2023,DC04,T5(1-3)-P.cs2:A104,GV0502,ThS. Vũ Thị Bích,DC,2022-08-15,2022-12-30
77,C22101405,Thực hành nền tảng DC,2,1,2022-2023,DC04,T6(1-2)-P.cs2:A105,GV0601,TS. Vũ Minh Dũng,DC,2022-08-15,2022-12-30
78,C22101501,Nhập môn chuyên ngành DC,4,1,2022-2023,DC05,T2(1-4)-P.cs2:A101,GV0602,ThS. Võ Thanh Giang,DC,2022-08-15,2022-12-30
79,C22101502,Tư duy thuật toán DC,3,1,2022-2023,DC05,T3(1-3)-P.cs2:A102,GV0701,TS. Võ Anh Long,DC,2022-08-15,2022-12-30
80,C22101503,Công cụ học tập số DC,3,1,2022-2023,DC05,T4(1-3)-P.cs2:A103,GV0702,ThS. Đặng Phương Hương,DC,2022-08-15,2022-12-30
81,C22101504,Kỹ năng học thuật DC,3,1,2022-2023,DC05,T5(1-3)-P.cs2:A104,GV0801,TS. Đặng Hữu Quân,DC,2022-08-15,2022-12-30
82,C22101505,Thực hành nền tảng DC,2,1,2022-2023,DC05,T6(1-2)-P.cs2:A105,GV0802,ThS. Bùi Bảo Mai,DC,2022-08-15,2022-12-30
83,C22101506,Seminar định hướng DC,2,1,2022-2023,DC05,T7(1-2)-P.cs2:A106,GV0901,TS. Bùi Tuấn Việt,DC,2022-08-15,2022-12-30
84,C22101601,Nhập môn chuyên ngành DTVT,4,1,2022-2023,DTVT01,T2(1-4)-P.cs2:A101,GV0902,ThS. Đỗ Mỹ Thảo,DTVT,2022-08-15,2022-12-30
85,C22101602,Tư duy thuật toán DTVT,3,1,2022-2023,DTVT01,T3(1-3)-P.cs2:A102,GV1001,TS. Đỗ Bảo Đạt,DTVT,2022-08-15,2022-12-30
86,C22101603,Công cụ học tập số DTVT,3,1,2022-2023,DTVT01,T4(1-3)-P.cs2:A103,GV1002,ThS. Hồ Khánh Anh,DTVT,2022-08-15,2022-12-30
87,C22101604,Kỹ năng học thuật DTVT,3,1,2022-2023,DTVT01,T5(1-3)-P.cs2:A104,GV1101,TS. Hồ Nhật Cường,DTVT,2022-08-15,2022-12-30
